Scenario,Definition
1,No Wood
2,No CGI
3,No Slate
4,No Aluminum
5,No Ceramic
6,No Plywood
7,No Bamboo
8,No Brick
9,No Stone
10,No CSEB
11,No Concrete
12,No Aerated Concrete
,
Floor Number,Floor Type
1,Brick-Concrete
2,Stone-Concrete
3,Brick-Aerated Concrete
,
Wall Number,Wall Type
1,Brick-Concrete
2,Stone-Concrete
3,Bamboo-Concrete
4,CSEB-Concrete
5,Concrete Blocks-Concrete
6,Brick-Aerated Concrete
,
Roof Number,Roof Type
1,Wood-CGI
2,Wood-Slate
3,Bamboo-CGI
4,Wood-Aluminum
5,Bamboo-Aluminum
6,Plywood-Wood-Ceramic
7,Bamboo-Wood-Ceramic
,
Option,
1,Always lowest embedded energy
2,Always lowest cost
3,Intermediate choice
