Scenario,Option,Cost,Embodied Energy,Floor,Walls,Roof
1,1,7544.19,600.82,2,4,5
1,2,6655.73,837.59,2,2,5
2,1,6508.47,586.79,2,4,2
2,2,5958.23,607.55,2,4,6
2,3,5069.77,844.32,2,2,6
3,1,6391.93,598.74,2,4,7
3,2,5958.23,607.55,2,4,6
3,3,5069.77,844.32,2,2,6
4,1,6508.47,586.79,2,4,2
4,2,5958.23,607.55,2,4,6
4,3,5069.77,844.32,2,2,6
5,1,6508.47,586.79,2,4,2
5,2,5620.01,823.56,2,2,2
6,1,6508.47,586.79,2,4,2
6,2,6391.93,598.74,2,4,7
6,3,5503.47,835.51,2,2,7
7,1,6508.47,586.79,2,4,2
7,2,5958.23,607.55,2,4,6
7,3,5069.77,844.32,2,2,6
8,1,6508.47,586.79,2,4,2
8,2,5958.23,607.55,2,4,6
8,3,5069.77,844.32,2,2,6
9,1,7708.94,601.97,3,4,2
9,2,7158.7,622.73,3,4,6
9,3,6979.01,892.93,3,6,6
10,1,10529.45,605.22,2,3,2
10,2,9979.21,625.98,2,3,6
10,3,5069.77,844.32,2,2,6
11,1,7529.25,872.17,3,6,2
11,2,7412.71,884.12,3,6,7
11,3,6979.01,892.93,3,6,6
12,1,6508.47,586.79,2,4,2
12,2,5958.23,607.55,2,4,6
12,3,5069.77,844.32,2,2,6
13,1,7544.19,600.82,2,4,5
13,2,6655.73,837.59,2,2,5
14,1,7544.19,600.82,2,4,5
14,2,6655.73,837.59,2,2,5
15,1,8598.75,672.23,2,4,3
15,2,7710.29,909,2,2,3
16,1,7544.19,600.82,2,4,5
16,2,6655.73,837.59,2,2,5
17,1,7544.19,600.82,2,4,5
17,2,6655.73,837.59,2,2,5
18,1,7544.19,600.82,2,4,5
18,2,6655.73,837.59,2,2,5
19,1,8744.66,616,3,4,5
19,2,8564.97,886.2,3,6,5
20,1,11565.17,619.25,2,3,5
20,2,6655.73,837.59,2,2,5
21,1,7544.19,600.82,2,4,5
21,2,6655.73,837.59,2,2,5
22,1,6391.93,598.74,2,4,7
22,2,5958.23,607.55,2,4,6
22,3,5069.77,844.32,2,2,6
23,1,6508.47,586.79,2,4,2
23,2,5958.23,607.55,2,4,6
23,3,5069.77,844.32,2,2,6
24,1,6508.47,586.79,2,4,2
24,2,5620.01,823.56,2,2,2
25,1,6508.47,586.79,2,4,2
25,2,6391.93,598.74,2,4,7
25,3,5503.47,835.51,2,2,7
26,1,6508.47,586.79,2,4,2
26,2,5958.23,607.55,2,4,6
26,3,5069.77,844.32,2,2,6
27,1,6508.47,586.79,2,4,2
27,2,5958.23,607.55,2,4,6
27,3,5069.77,844.32,2,2,6
28,1,7708.94,601.97,3,4,2
28,2,7158.7,622.73,3,4,6
28,3,6979.01,892.93,3,6,6
29,1,10529.45,605.22,2,3,2
